fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop,per_dem_2016,per_gop_2016
48147,TX,35286,714,3.1,53111,19.5,8.7,29.8,16.7,224.8,0.177330437688,0.796525225526
48149,TX,25349,173,2.8,55776,19.4,13.3,30.7,18.1,224.8,0.192855199927,0.784114606945
48151,TX,3839,-65,3.3,45261,21.3,9.1,31.1,18.2,224.8,0.234030197445,0.734610917538
48153,TX,5837,-27,5.2,39891,33.3,6.1,28.1,15.9,224.8,0.222165474974,0.752298263534
48155,TX,1200,-6,2.9,37648,31,7.3,30.8,16.2,224.8,0.221135029354,0.749510763209
48157,TX,787858,21722,4,92310,10.4,15.6,30.3,46.1,224.8,0.516482503543,0.450179938318
48159,TX,10766,-14,4.1,48222,23.9,9.8,29.8,23.6,224.8,0.152662993572,0.822543617998
48161,TX,19808,154,5.8,49317,19.3,11.2,29.8,13,224.8,0.192034700315,0.787986330179
48163,TX,19816,252,2.9,41038,33.9,14.9,31.6,7.2,224.8,0.522176667909,0.459187476705
48165,TX,20901,266,2.6,56321,22,8.4,28.7,12.4,224.8,0.129529182035,0.847689303537
48167,TX,337890,3586,4.6,71959,16.6,15.8,29.9,30,224.8,0.366977434392,0.593302901753
48169,TX,6578,19,3,46490,26.4,8.4,30.3,13.9,224.8,0.15186440678,0.829152542373
48171,TX,26804,274,2.5,61433,15.7,12,29.2,33.8,224.8,0.174197973024,0.795930808504
48173,TX,1388,28,2,83330,13.3,10.2,30.4,23.2,224.8,0.0564784053156,0.918604651163
48175,TX,7584,36,3.8,55008,22.6,15.2,31.2,17.6,224.8,0.262052248855,0.705090223539
48177,TX,20826,30,3,49829,25.3,14.1,31.7,12.3,224.8,0.248572335025,0.72652284264
48179,TX,21895,-226,3.9,49121,21.9,4.2,28.2,13.3,224.8,0.094972826087,0.882472826087
48181,TX,133991,2777,3.2,51403,16.6,8.2,29.4,20.5,224.8,0.218322427127,0.749426361859
48183,TX,123707,584,4.1,50610,20.9,11,29.6,20.8,224.8,0.28098634111,0.693654055361
48185,TX,28360,383,4.1,49498,25.3,12.9,30.2,14.6,224.8,0.23026868178,0.741498740554
48187,TX,163694,3853,3.1,73864,12,13.7,31.3,27.5,224.8,0.319958056624,0.637801468018
48189,TX,33830,-214,4.8,42782,26.2,6.1,27.8,16.5,224.8,0.237446034992,0.721086116792
48191,TX,3028,-31,4.3,32597,38.8,6,29.8,14.3,224.8,0.15059687787,0.818181818182
48193,TX,8484,90,3.3,49210,23.4,10.7,30.1,21.7,224.8,0.13272374619,0.846771958991
